"AREA_NAME","value","year"
"Beechborough-Greenbrook",3,2023
"Rockcliffe-Smythe",11,2014
"Rockcliffe-Smythe",13,2015
"Rockcliffe-Smythe",9,2016
"Rockcliffe-Smythe",12,2017
"Rockcliffe-Smythe",6,2018
"Rockcliffe-Smythe",5,2019
"Rockcliffe-Smythe",1,2020
"Rockcliffe-Smythe",11,2021
"Rockcliffe-Smythe",7,2022
"Rockcliffe-Smythe",12,2023
"Keelesdale-Eglinton West",3,2014
"Keelesdale-Eglinton West",4,2015
"Keelesdale-Eglinton West",3,2016
"Keelesdale-Eglinton West",6,2017
"Keelesdale-Eglinton West",3,2018
"Keelesdale-Eglinton West",2,2019
"Keelesdale-Eglinton West",5,2020
"Keelesdale-Eglinton West",2,2021
"Keelesdale-Eglinton West",3,2022
"Keelesdale-Eglinton West",2,2023
"Palmerston-Little Italy",47,2014
"Palmerston-Little Italy",52,2015
"Palmerston-Little Italy",54,2016
"Palmerston-Little Italy",52,2017
"Palmerston-Little Italy",65,2018
"Palmerston-Little Italy",48,2019
"Palmerston-Little Italy",65,2020
"Palmerston-Little Italy",28,2021
"Palmerston-Little Italy",32,2022
"Palmerston-Little Italy",33,2023
"University",106,2014
"University",110,2015
"University",136,2016
"University",145,2017
"University",140,2018
"University",75,2019
"University",69,2020
"University",61,2021
"University",116,2022
"University",53,2023
"Kensington-Chinatown",92,2014
"Kensington-Chinatown",104,2015
"Kensington-Chinatown",128,2016
"Kensington-Chinatown",144,2017
"Kensington-Chinatown",142,2018
"Kensington-Chinatown",119,2019
"Kensington-Chinatown",99,2020
"Kensington-Chinatown",107,2021
"Kensington-Chinatown",89,2022
"Kensington-Chinatown",137,2023
"North St.James Town",44,2014
"North St.James Town",59,2015
"North St.James Town",61,2016
"North St.James Town",66,2017
"North St.James Town",40,2018
"North St.James Town",54,2019
"North St.James Town",50,2020
"North St.James Town",27,2021
"North St.James Town",36,2022
"North St.James Town",41,2023
"Moss Park",100,2014
"Moss Park",103,2015
"Moss Park",117,2016
"Moss Park",140,2017
"Moss Park",135,2018
"Moss Park",108,2019
"Moss Park",107,2020
"Moss Park",95,2021
"Moss Park",90,2022
"Moss Park",99,2023
"Regent Park",30,2014
"Regent Park",27,2015
"Regent Park",39,2016
"Regent Park",37,2017
"Regent Park",45,2018
"Regent Park",45,2019
"Regent Park",30,2020
"Regent Park",14,2021
"Regent Park",15,2022
"Regent Park",27,2023
"Cabbagetown-South St.James Town",64,2014
"Cabbagetown-South St.James Town",73,2015
"Cabbagetown-South St.James Town",67,2016
"Cabbagetown-South St.James Town",49,2017
"Cabbagetown-South St.James Town",86,2018
"Cabbagetown-South St.James Town",61,2019
"Cabbagetown-South St.James Town",48,2020
"Cabbagetown-South St.James Town",38,2021
"Cabbagetown-South St.James Town",38,2022
"Cabbagetown-South St.James Town",31,2023
"South Riverdale",70,2014
"South Riverdale",90,2015
"South Riverdale",129,2016
"South Riverdale",114,2017
"South Riverdale",135,2018
"South Riverdale",72,2019
"South Riverdale",112,2020
"South Riverdale",94,2021
"South Riverdale",52,2022
"South Riverdale",85,2023
"Blake-Jones",12,2014
"Blake-Jones",15,2015
"Blake-Jones",12,2016
"Blake-Jones",16,2017
"Blake-Jones",6,2018
"Blake-Jones",18,2019
"Blake-Jones",20,2020
"Blake-Jones",20,2021
"Blake-Jones",6,2022
"Blake-Jones",11,2023
"North Riverdale",27,2014
"North Riverdale",25,2015
"North Riverdale",30,2016
"North Riverdale",27,2017
"North Riverdale",49,2018
"North Riverdale",38,2019
"North Riverdale",36,2020
"North Riverdale",17,2021
"North Riverdale",21,2022
"North Riverdale",15,2023
"Playter Estates-Danforth",20,2014
"Playter Estates-Danforth",8,2015
"Playter Estates-Danforth",15,2016
"Playter Estates-Danforth",15,2017
"Playter Estates-Danforth",11,2018
"Playter Estates-Danforth",11,2019
"Playter Estates-Danforth",32,2020
"Playter Estates-Danforth",26,2021
"Playter Estates-Danforth",27,2022
"Playter Estates-Danforth",11,2023
"Danforth",10,2014
"Danforth",11,2015
"Danforth",26,2016
"Danforth",10,2017
"Danforth",23,2018
"Danforth",28,2019
"Danforth",39,2020
"Danforth",65,2021
"Danforth",31,2022
"Danforth",13,2023
"Greenwood-Coxwell",16,2014
"Greenwood-Coxwell",25,2015
"Greenwood-Coxwell",37,2016
"Greenwood-Coxwell",27,2017
"Greenwood-Coxwell",26,2018
"Greenwood-Coxwell",39,2019
"Greenwood-Coxwell",56,2020
"Greenwood-Coxwell",60,2021
"Greenwood-Coxwell",33,2022
"Greenwood-Coxwell",16,2023
"Woodbine Corridor",5,2014
"Woodbine Corridor",14,2015
"Woodbine Corridor",30,2016
"Woodbine Corridor",18,2017
